City ID,city,cloud,country,date,humidity,lat,long,temperature,speed
85,huntington,20,US,1624909165,64,38.4193,-82.4452,91.76,1.99
86,saint-pierre,0,RE,1624909297,72,-21.3393,55.4781,68.94,8.05
87,birao,92,CF,1624909298,65,10.2849,22.7882,79.68,6.11
88,hollister,1,US,1624909299,44,36.8525,-121.4016,75.85,4.61
89,bria,100,CF,1624909300,95,6.5423,21.9863,69.89,4.68
90,oktyabrskoye,100,RU,1624909300,88,43.0645,44.7417,69.94,6.71
91,whitehorse,20,CA,1624909301,31,60.7161,-135.0538,77.58,8.01
92,omsukchan,61,RU,1624909301,53,62.5333,155.8,63.14,7.92
93,port elizabeth,90,ZA,1624909302,82,-33.918,25.5701,57.49,19.57
94,bremerhaven,100,DE,1624909302,89,53.55,8.5833,75.34,6.06
95,broome,1,US,1624909303,54,42.2506,-75.833,91.29,4.0
96,paamiut,44,GL,1624909303,82,61.994,-49.6678,38.93,15.19
97,klaksvik,67,FO,1624909304,96,62.2266,-6.589,50.92,13.09
98,avarua,75,CK,1624909283,60,-21.2078,-159.775,73.45,13.8
99,east london,0,ZA,1624909305,73,-33.0153,27.9116,61.56,13.27
100,frankfort,0,ZA,1624909305,36,-27.2667,28.4833,52.86,6.71
101,sioux lookout,40,CA,1624909306,53,50.1001,-91.917,77.07,6.91
102,seymchan,31,RU,1624909306,49,62.8833,152.4333,71.51,6.26
103,petropavlovsk-kamchatskiy,75,RU,1624909307,100,53.0452,158.6483,46.99,2.24
104,arraial do cabo,0,BR,1624909068,57,-22.9661,-42.0278,78.66,8.05
105,nome,90,US,1624909308,76,64.5011,-165.4064,50.07,16.11
106,bouza,100,NE,1624909308,33,14.4229,6.0428,94.17,12.68
107,new norfolk,5,AU,1624909309,89,-42.7826,147.0587,38.89,3.02
108,chokurdakh,100,RU,1624909309,80,70.6333,147.9167,42.04,15.03
109,severo-kurilsk,96,RU,1624909310,89,50.6789,156.125,47.23,8.41
110,kaitangata,48,NZ,1624909311,43,-46.2817,169.8464,43.93,17.18
111,dakar,0,SN,1624909149,78,14.6937,-17.4441,82.53,4.61
112,yellowknife,20,CA,1624909312,40,62.456,-114.3525,74.41,7.0
113,richards bay,3,ZA,1624909313,31,-28.783,32.0377,72.14,11.63
114,wad madani,99,SD,1624909313,43,14.4012,33.5199,90.32,17.83
115,souillac,20,MU,1624909314,73,-20.5167,57.5167,71.98,9.22
116,prince george,1,CA,1624909314,34,53.9166,-122.753,94.66,1.01
117,pangnirtung,90,CA,1624909315,87,66.1451,-65.7125,41.0,18.41
118,flin flon,75,CA,1624909315,36,54.7682,-101.865,82.24,9.22
119,hot springs,95,US,1624909198,65,34.5037,-93.0552,86.86,1.01
120,tazmalt,92,DZ,1624909316,45,36.3868,4.3989,81.64,5.53
121,tanete,50,ID,1624909317,96,-3.9443,119.7848,73.81,4.79
122,bambous virieux,20,MU,1624909317,73,-20.3428,57.7575,71.85,9.22
123,glasgow,76,GB,1624909193,56,55.8652,-4.2576,66.36,8.05
124,tatawin,14,TN,1624909318,21,32.9297,10.4518,106.68,13.22
125,tabuk,100,PH,1624909319,89,17.4189,121.4443,72.72,4.47
126,hilo,40,US,1624909029,59,19.7297,-155.09,79.39,4.61
127,chipinge,0,ZW,1624909320,51,-20.1883,32.6236,56.26,3.94
128,lompoc,20,US,1624909167,74,34.6391,-120.4579,67.84,12.66
129,aransas pass,1,US,1624909321,75,27.9095,-97.15,84.27,3.0
130,mongoumba,100,CF,1624909321,86,3.6415,18.5936,72.09,2.08
131,ribeira grande,40,PT,1624909322,88,38.5167,-28.7,70.2,13.8
132,asosa,100,ET,1624909322,94,10.0667,34.5333,62.04,3.6
133,porosozero,100,RU,1624909323,67,62.7191,32.727,61.43,4.03
134,mazurivka,73,UA,1624909323,76,49.2745,24.2123,63.39,1.21
135,tarumovka,67,RU,1624909324,74,44.0761,46.5361,75.87,22.68
136,houma,75,US,1624909042,81,29.5958,-90.7195,81.37,4.61
137,sao filipe,17,CV,1624909324,80,14.8961,-24.4956,76.05,11.56
138,meulaboh,100,ID,1624909325,88,4.1363,96.1285,75.9,4.7
139,isangel,6,VU,1624909325,84,-19.55,169.2667,73.92,2.91
140,manado,20,ID,1624909125,94,1.487,124.8455,74.17,1.14
141,kodiak,90,US,1624909326,76,57.79,-152.4072,53.11,5.75
142,sistranda,100,NO,1624909327,88,63.7256,8.834,53.56,11.18
143,manono,60,CD,1624909327,38,-7.3,27.4167,73.27,4.81
144,hobart,3,AU,1624909218,95,-42.8794,147.3294,38.39,9.22
145,touros,11,BR,1624909328,71,-5.1989,-35.4608,81.5,18.99
146,ayan,54,RU,1624909328,91,56.45,138.1667,52.81,4.23
147,saint george,1,US,1624909135,15,37.1041,-113.5841,97.3,1.99
148,tamworth,100,GB,1624909329,87,52.634,-1.6959,57.79,1.99
149,torbay,90,CA,1624909330,97,47.6666,-52.7314,59.92,16.11
150,lorengau,94,PG,1624909330,80,-2.0226,147.2712,81.1,5.59
151,victoria,100,HK,1624909250,94,22.2855,114.1577,84.74,1.99
152,tabou,100,CI,1624909331,85,4.423,-7.3528,77.5,8.01
153,bilibino,19,RU,1624909331,35,68.0546,166.4372,74.8,7.09
154,staryy nadym,53,RU,1624909332,70,65.6118,72.6842,44.96,4.88
155,talnakh,100,RU,1624909332,89,69.4865,88.3972,48.36,5.06
156,vao,14,NC,1624909333,80,-22.6667,167.4833,71.76,17.85
157,rio grande,50,BR,1624909333,62,-32.035,-52.0986,48.94,22.95
158,ancud,70,CL,1624909334,73,-41.8697,-73.8203,47.73,8.12
159,caravelas,0,BR,1624909334,68,-17.7125,-39.2481,71.55,4.7
160,cockburn town,40,TC,1624909335,66,21.4612,-71.1419,85.96,16.11
161,kapaa,20,US,1624909268,71,22.0752,-159.319,80.78,4.0
162,telsiai,98,LT,1624909336,93,55.9814,22.2472,59.31,7.09
163,kahului,20,US,1624909336,59,20.8947,-156.47,81.77,14.97
164,bosaso,7,SO,1624909337,39,11.2842,49.1816,92.01,10.85
165,aldan,96,RU,1624909337,76,58.6031,125.3894,60.91,4.0
166,kushima,7,JP,1624909338,94,31.4583,131.2333,74.12,3.44
167,carnarvon,0,AU,1624909338,65,-24.8667,113.6333,53.67,4.61
168,remerschen,20,LU,1624909339,77,49.4886,6.3517,69.19,6.91
169,atar,32,MR,1624909339,8,20.5169,-13.0499,101.55,11.56
170,road town,40,VG,1624909131,74,18.4167,-64.6167,84.25,11.5
